ID_CHAMADA,CLASSIFICACAO,CLASSIFICACAO_DETALHE,COUNT_COMPORTAMENTO
1,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
1,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
1,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
1,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
1,PROPOSTA,DESCONTO A VISTA,6
1,PROPOSTA,PRAZO PARA PAGAMENTO,1
1,SONDAGEM,AVALIACAO FINANCEIRA,5
1,SONDAGEM,MOTIVO DO ATRASO,2
2,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
2,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,4
2,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
2,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
2,PROPOSTA,DESCONTO A VISTA,1
2,PROPOSTA,PRAZO PARA PAGAMENTO,1
2,SONDAGEM,AVALIACAO FINANCEIRA,1
2,SONDAGEM,MOTIVO DO ATRASO,2
3,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
3,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
3,SONDAGEM,AVALIACAO FINANCEIRA,2
4,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
4,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
4,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
4,CHAMADA COM ACORDO,CHAMADA COM ACORDO,2
4,PROPOSTA,PRAZO PARA PAGAMENTO,1
4,SONDAGEM,AVALIACAO FINANCEIRA,1
4,SONDAGEM,MOTIVO DO ATRASO,3
5,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,3
5,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
5,SONDAGEM,AVALIACAO FINANCEIRA,1
5,SONDAGEM,MOTIVO DO ATRASO,1
6,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
6,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,4
6,ARGUMENTAÇÃO,NEGATIVAÇÃO,1
6,PROPOSTA,DESCONTO A VISTA,1
7,PROPOSTA,DESCONTO A VISTA,1
7,PROPOSTA,PRAZO PARA PAGAMENTO,1
8,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,6
8,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
8,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
8,PROPOSTA,PRAZO PARA PAGAMENTO,1
8,SONDAGEM,AVALIACAO FINANCEIRA,6
8,SONDAGEM,MOTIVO DO ATRASO,3
9,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,9
9,CHAMADA COM ACORDO,CHAMADA COM ACORDO,2
9,PROPOSTA,PRAZO PARA PAGAMENTO,3
9,SONDAGEM,MOTIVO DO ATRASO,8
10,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
10,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,5
10,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
10,PROPOSTA,PRAZO PARA PAGAMENTO,3
10,SONDAGEM,MOTIVO DO ATRASO,7
11,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
11,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,10
11,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
11,PROPOSTA,PRAZO PARA PAGAMENTO,3
11,SONDAGEM,MOTIVO DO ATRASO,4
12,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,6
12,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,10
12,ARGUMENTAÇÃO,NEGATIVAÇÃO,4
12,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
12,SONDAGEM,MOTIVO DO ATRASO,3
13,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
13,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
13,PROPOSTA,PRAZO PARA PAGAMENTO,1
13,SONDAGEM,MOTIVO DO ATRASO,4
14,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,2
14,ARGUMENTAÇÃO,NEGATIVAÇÃO,6
14,PROPOSTA,PRAZO PARA PAGAMENTO,2
14,SONDAGEM,MOTIVO DO ATRASO,7
15,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,9
15,ARGUMENTAÇÃO,NEGATIVAÇÃO,4
15,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
15,PROPOSTA,DESCONTO A VISTA,1
15,PROPOSTA,PRAZO PARA PAGAMENTO,2
15,PROPOSTA,TAXAS  E JUROS,1
15,SONDAGEM,MOTIVO DO ATRASO,6
16,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,8
16,ARGUMENTAÇÃO,NEGATIVAÇÃO,6
16,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
16,PROPOSTA,DESCONTO A VISTA,8
16,PROPOSTA,PRAZO PARA PAGAMENTO,1
16,SONDAGEM,AVALIACAO FINANCEIRA,4
16,SONDAGEM,MOTIVO DO ATRASO,4
17,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
18,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,1
18,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,3
18,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
18,SONDAGEM,AVALIACAO FINANCEIRA,4
18,SONDAGEM,MOTIVO DO ATRASO,3
19,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
19,ARGUMENTAÇÃO,NEGATIVAÇÃO,4
19,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
19,PROPOSTA,PRAZO PARA PAGAMENTO,2
19,SONDAGEM,MOTIVO DO ATRASO,12
20,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
20,CHAMADA COM ACORDO,CHAMADA COM ACORDO,4
20,SONDAGEM,AVALIACAO FINANCEIRA,2
21,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
21,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
21,SONDAGEM,AVALIACAO FINANCEIRA,2
21,SONDAGEM,MOTIVO DO ATRASO,7
22,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,3
22,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,8
22,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
22,CHAMADA COM ACORDO,CHAMADA COM ACORDO,5
22,PROPOSTA,PRAZO PARA PAGAMENTO,2
22,SONDAGEM,AVALIACAO FINANCEIRA,4
23,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,4
23,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,1
23,SONDAGEM,MOTIVO DO ATRASO,8
24,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
24,CHAMADA COM ACORDO,CHAMADA COM ACORDO,1
24,PROPOSTA,DESCONTO A VISTA,2
24,PROPOSTA,PRAZO PARA PAGAMENTO,1
24,SONDAGEM,AVALIACAO FINANCEIRA,2
24,SONDAGEM,MOTIVO DO ATRASO,5
25,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,5
25,ARGUMENTAÇÃO,DESCONEXÃO DA LINHA,4
25,SONDAGEM,AVALIACAO FINANCEIRA,2
25,SONDAGEM,MOTIVO DO ATRASO,2
26,SONDAGEM,AVALIACAO FINANCEIRA,4
26,SONDAGEM,MOTIVO DO ATRASO,6
27,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,6
27,PROPOSTA,DESCONTO A VISTA,1
27,SONDAGEM,MOTIVO DO ATRASO,7
28,CHAMADA COM ACORDO,CHAMADA COM ACORDO,6
28,PROPOSTA,PRAZO PARA PAGAMENTO,1
28,SONDAGEM,MOTIVO DO ATRASO,4
29,ARGUMENTAÇÃO,AÇÕES DE COBRANÇA,2
29,ARGUMENTAÇÃO,NEGATIVAÇÃO,4
29,CHAMADA COM ACORDO,CHAMADA COM ACORDO,3
29,PROPOSTA,DESCONTO A VISTA,2
29,PROPOSTA,PRAZO PARA PAGAMENTO,1
29,SONDAGEM,AVALIACAO FINANCEIRA,2
29,SONDAGEM,MOTIVO DO ATRASO,6
30,ARGUMENTAÇÃO,NEGATIVAÇÃO,2
